NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
UHE ASSIS CHATEAUBRIAND RIBAS,63910000,Ativo,RIBAS DO RIO PARDO-MS,-20.44080,-53.71750,356.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63500000
UHE ASSIS CHATEAUBRIAND RESERVATÓRIO,63920000,Ativo,RIBAS DO RIO PARDO-MS,-20.67420,-53.56940,287.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63500000
UHE ASSIS CHATEAUBRIAND BARRAMENTO,63920080,Ativo,RIBAS DO RIO PARDO-MS,-20.67440,-53.56670,287.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63500000
UHE ASSIS CHATEAUBRIAND JUSANTE,63921000,Ativo,RIBAS DO RIO PARDO-MS,-20.68080,-53.55640,323.00,00466 - PANTANAL - Pantanal Energética Ltda.,00466 - PANTANAL - Pantanal Energética Ltda.,Setor Elétrico,6,63,63500000
VAU DO BALSAMO,63950010,Ativo,SIDROLÂNDIA-MS,-20.99420,-54.50720,384.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,63,63535000
UHE PORTO PRIMAVERA FAZENDA BURITI,63968000,Ativo,BATAGUASSU-MS,-21.66330,-52.86720,0.00,00006 - CESP - Companhia Energética de São Paulo-CESP,00006 - CESP - Companhia Energética de São Paulo-CESP,Setor Elétrico,6,63,63500000
FAZENDA BURITI,63970000,Ativo,BATAGUASSU-MS,-21.66330,-52.86750,259.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,63,63500000
UHE PORTO PRIMAVERA RESERVATÓRIO 2,63994900,Ativo,ANAURILÂNDIA-MS,-22.35330,-52.92580,0.00,00006 - CESP - Companhia Energética de São Paulo-CESP,00006 - CESP - Companhia Energética de São Paulo-CESP,Setor Elétrico,6,63,60001000
BRILHANTE,64604900,Ativo,RIO BRILHANTE-MS,-21.89830,-54.02000,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,64210100
DOURADOS,64609000,Ativo,DOURADOS-MS,-22.39810,-54.79190,348.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,64,64211700
